average_daily_usage,avg_usage,batch_number,below_reorder,created_by_id,date,day,days_to_expiration,expiration_date,id,is_active,is_weekend,last_order_date,last_stock_count_date,last_updated_at,minimum_stock_level,month,near_expiration_15d,notes,optimal_stock_level,product_id,product_name,product_sku,quantity_available,quantity_on_hand,quantity_reserved,reorder_point,reorder_quantity,sale_amount,sale_amount_lag1,sale_amount_ma7,shelf_location,stock,stock_status,stock_to_reorder,supplier_id,supplier_name,total_value,unit_cost,warehouse_location,weekday,year
,6.5,,,,2024-06-27,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,197,,,52,120,8.0,3.0,5.428571428571429,,197,,3.7884615384615374,,,,,,,
,6.5,,,,2024-06-28,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,189,,,52,120,6.0,8.0,6.0,,189,,3.6346153846153846,,,,,,,
,6.5,,,,2024-06-29,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,185,,,52,120,4.0,6.0,6.0,,185,,3.5576923076923075,,,,,,,
,6.5,,,,2024-06-30,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,181,,,52,120,7.0,4.0,5.571428571428571,,181,,3.480769230769231,,,,,,,
,6.5,,,,2024-07-01,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,173,,,52,120,5.0,7.0,5.571428571428571,,173,,3.326923076923077,,,,,,,
,6.5,,,,2024-07-02,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,167,,,52,120,9.0,5.0,6.0,,167,,3.2115384615384617,,,,,,,
,6.5,,,,2024-07-03,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,160,,,52,120,6.0,9.0,6.428571428571429,,160,,3.076923076923077,,,,,,,
,6.5,,,,2024-07-04,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,159,,,52,120,5.0,6.0,6.0,,159,,3.0576923076923075,,,,,,,
,6.5,,,,2024-07-05,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,152,,,52,120,5.0,5.0,5.857142857142857,,152,,2.923076923076923,,,,,,,
,6.5,,,,2024-07-06,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,145,,,52,120,5.0,5.0,6.0,,145,,2.7884615384615383,,,,,,,
,6.5,,,,2024-07-07,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,138,,,52,120,9.0,5.0,6.285714285714286,,138,,2.6538461538461537,,,,,,,
,6.5,,,,2024-07-08,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,134,,,52,120,5.0,9.0,6.285714285714286,,134,,2.576923076923077,,,,,,,
,6.5,,,,2024-07-09,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,130,,,52,120,6.0,5.0,5.857142857142857,,130,,2.5,,,,,,,
,6.5,,,,2024-07-10,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,124,,,52,120,10.0,6.0,6.428571428571429,,124,,2.3846153846153846,,,,,,,
,6.5,,,,2024-07-11,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,124,,,52,120,10.0,10.0,7.142857142857143,,124,,2.3846153846153846,,,,,,,
,6.5,,,,2024-07-12,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,117,,,52,120,2.0,10.0,6.714285714285714,,117,,2.25,,,,,,,
,6.5,,,,2024-07-13,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,117,,,52,120,6.0,2.0,6.857142857142857,,117,,2.25,,,,,,,
,6.5,,,,2024-07-14,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,110,,,52,120,9.0,6.0,6.857142857142857,,110,,2.1153846153846154,,,,,,,
,6.5,,,,2024-07-15,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,107,,,52,120,5.0,9.0,6.857142857142857,,107,,2.0576923076923075,,,,,,,
,6.5,,,,2024-07-16,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,104,,,52,120,8.0,5.0,7.142857142857143,,104,,2.0,,,,,,,
,6.5,,,,2024-07-17,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,86,,,52,120,11.0,8.0,7.285714285714286,,86,,1.6538461538461535,,,,,,,
,6.5,,,,2024-07-18,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,83,,,52,120,4.0,11.0,6.428571428571429,,83,,1.5961538461538465,,,,,,,
,6.5,,,,2024-07-19,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,81,,,52,120,9.0,4.0,7.428571428571429,,81,,1.5576923076923077,,,,,,,
,6.5,,,,2024-07-20,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,74,,,52,120,7.0,9.0,7.571428571428571,,74,,1.4230769230769231,,,,,,,
,6.5,,,,2024-07-21,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,66,,,52,120,6.0,7.0,7.142857142857143,,66,,1.2692307692307692,,,,,,,
,6.5,,,,2024-07-22,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,60,,,52,120,5.0,6.0,7.142857142857143,,60,,1.1538461538461535,,,,,,,
,6.5,,,,2024-07-23,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,55,,,52,120,3.0,5.0,6.428571428571429,,55,,1.0576923076923077,,,,,,,
,6.5,,,,2024-07-24,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,169,,,52,120,3.0,3.0,5.285714285714286,,169,,3.25,,,,,,,
,6.5,,,,2024-07-25,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,156,,,52,120,9.0,3.0,6.0,,156,,3.0,,,,,,,
,6.5,,,,2024-07-26,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,154,,,52,120,8.0,9.0,5.857142857142857,,154,,2.9615384615384617,,,,,,,
,6.5,,,,2024-07-27,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,143,,,52,120,7.0,8.0,5.857142857142857,,143,,2.75,,,,,,,
,6.5,,,,2024-07-28,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,141,,,52,120,7.0,7.0,6.0,,141,,2.7115384615384617,,,,,,,
,6.5,,,,2024-07-29,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,134,,,52,120,4.0,7.0,5.857142857142857,,134,,2.576923076923077,,,,,,,
,6.5,,,,2024-07-30,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,128,,,52,120,7.0,4.0,6.428571428571429,,128,,2.4615384615384617,,,,,,,
,6.5,,,,2024-07-31,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,117,,,52,120,9.0,7.0,7.285714285714286,,117,,2.25,,,,,,,
,6.5,,,,2024-08-01,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,112,,,52,120,3.0,9.0,6.428571428571429,,112,,2.1538461538461537,,,,,,,
,6.5,,,,2024-08-02,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,100,,,52,120,5.0,3.0,6.0,,100,,1.9230769230769231,,,,,,,
,6.5,,,,2024-08-03,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,100,,,52,120,7.0,5.0,6.0,,100,,1.9230769230769231,,,,,,,
,6.5,,,,2024-08-04,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,96,,,52,120,7.0,7.0,6.0,,96,,1.8461538461538465,,,,,,,
,6.5,,,,2024-08-05,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,83,,,52,120,6.0,7.0,6.285714285714286,,83,,1.5961538461538465,,,,,,,
,6.5,,,,2024-08-06,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,78,,,52,120,7.0,6.0,6.285714285714286,,78,,1.5,,,,,,,
,6.5,,,,2024-08-07,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,74,,,52,120,5.0,7.0,5.714285714285714,,74,,1.4230769230769231,,,,,,,
,6.5,,,,2024-08-08,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,65,,,52,120,9.0,5.0,6.571428571428571,,65,,1.25,,,,,,,
,6.5,,,,2024-08-09,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,63,,,52,120,13.0,9.0,7.714285714285714,,63,,1.2115384615384617,,,,,,,
,6.5,,,,2024-08-10,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,51,,,52,120,9.0,13.0,8.0,,51,,0.9807692307692308,,,,,,,
,6.5,,,,2024-08-11,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,160,,,52,120,8.0,9.0,8.142857142857142,,160,,3.076923076923077,,,,,,,
,6.5,,,,2024-08-12,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,158,,,52,120,5.0,8.0,8.0,,158,,3.0384615384615383,,,,,,,
,6.5,,,,2024-08-13,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,150,,,52,120,10.0,5.0,8.428571428571429,,150,,2.8846153846153846,,,,,,,
,6.5,,,,2024-08-14,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,143,,,52,120,9.0,10.0,9.0,,143,,2.75,,,,,,,
,6.5,,,,2024-08-15,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,135,,,52,120,7.0,9.0,8.714285714285714,,135,,2.5961538461538463,,,,,,,
,6.5,,,,2024-08-16,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,128,,,52,120,6.0,7.0,7.714285714285714,,128,,2.4615384615384617,,,,,,,
,6.5,,,,2024-08-17,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,123,,,52,120,8.0,6.0,7.571428571428571,,123,,2.3653846153846154,,,,,,,
,6.5,,,,2024-08-18,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,116,,,52,120,11.0,8.0,8.0,,116,,2.230769230769231,,,,,,,
,6.5,,,,2024-08-19,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,106,,,52,120,8.0,11.0,8.428571428571429,,106,,2.0384615384615383,,,,,,,
,6.5,,,,2024-08-20,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,102,,,52,120,5.0,8.0,7.714285714285714,,102,,1.9615384615384608,,,,,,,
,6.5,,,,2024-08-21,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,84,,,52,120,10.0,5.0,7.857142857142857,,84,,1.6153846153846154,,,,,,,
,6.5,,,,2024-08-22,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,82,,,52,120,9.0,10.0,8.142857142857142,,82,,1.5769230769230769,,,,,,,
,6.5,,,,2024-08-23,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,79,,,52,120,7.0,9.0,8.285714285714286,,79,,1.5192307692307692,,,,,,,
,6.5,,,,2024-08-24,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,71,,,52,120,11.0,7.0,8.714285714285714,,71,,1.3653846153846154,,,,,,,
,6.5,,,,2024-08-25,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,70,,,52,120,4.0,11.0,7.714285714285714,,70,,1.3461538461538465,,,,,,,
,6.5,,,,2024-08-26,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,61,,,52,120,9.0,4.0,7.857142857142857,,61,,1.1730769230769231,,,,,,,
,6.5,,,,2024-08-27,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,53,,,52,120,7.0,9.0,8.142857142857142,,53,,1.0192307692307692,,,,,,,
,6.5,,,,2024-08-28,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,167,,,52,120,7.0,7.0,7.714285714285714,,167,,3.2115384615384617,,,,,,,
,6.5,,,,2024-08-29,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,156,,,52,120,8.0,7.0,7.571428571428571,,156,,3.0,,,,,,,
,6.5,,,,2024-08-30,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,154,,,52,120,5.0,8.0,7.285714285714286,,154,,2.9615384615384617,,,,,,,
,6.5,,,,2024-08-31,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,144,,,52,120,5.0,5.0,6.428571428571429,,144,,2.769230769230769,,,,,,,
,6.5,,,,2024-09-01,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,139,,,52,120,5.0,5.0,6.571428571428571,,139,,2.673076923076923,,,,,,,
,6.5,,,,2024-09-02,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,137,,,52,120,2.0,5.0,5.571428571428571,,137,,2.6346153846153846,,,,,,,
,6.5,,,,2024-09-03,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,130,,,52,120,4.0,2.0,5.142857142857143,,130,,2.5,,,,,,,
,6.5,,,,2024-09-04,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,115,,,52,120,12.0,4.0,5.857142857142857,,115,,2.2115384615384617,,,,,,,
,6.5,,,,2024-09-05,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,114,,,52,120,7.0,12.0,5.714285714285714,,114,,2.1923076923076925,,,,,,,
,6.5,,,,2024-09-06,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,110,,,52,120,5.0,7.0,5.714285714285714,,110,,2.1153846153846154,,,,,,,
,6.5,,,,2024-09-07,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,99,,,52,120,7.0,5.0,6.0,,99,,1.9038461538461533,,,,,,,
,6.5,,,,2024-09-08,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,92,,,52,120,5.0,7.0,6.0,,92,,1.7692307692307692,,,,,,,
,6.5,,,,2024-09-09,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,84,,,52,120,8.0,5.0,6.857142857142857,,84,,1.6153846153846154,,,,,,,
,6.5,,,,2024-09-10,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,80,,,52,120,5.0,8.0,7.0,,80,,1.5384615384615383,,,,,,,
,6.5,,,,2024-09-11,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,72,,,52,120,8.0,5.0,6.428571428571429,,72,,1.3846153846153846,,,,,,,
,6.5,,,,2024-09-12,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,67,,,52,120,8.0,8.0,6.571428571428571,,67,,1.2884615384615383,,,,,,,
,6.5,,,,2024-09-13,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,62,,,52,120,7.0,8.0,6.857142857142857,,62,,1.1923076923076923,,,,,,,
,6.5,,,,2024-09-14,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,52,,,52,120,6.0,7.0,6.714285714285714,,52,,1.0,,,,,,,
,6.5,,,,2024-09-15,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,163,,,52,120,6.0,6.0,6.857142857142857,,163,,3.1346153846153846,,,,,,,
,6.5,,,,2024-09-16,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,152,,,52,120,9.0,6.0,7.0,,152,,2.923076923076923,,,,,,,
,6.5,,,,2024-09-17,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,144,,,52,120,10.0,9.0,7.714285714285714,,144,,2.769230769230769,,,,,,,
,6.5,,,,2024-09-18,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,141,,,52,120,4.0,10.0,7.142857142857143,,141,,2.7115384615384617,,,,,,,
,6.5,,,,2024-09-19,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,139,,,52,120,7.0,4.0,7.0,,139,,2.673076923076923,,,,,,,
,6.5,,,,2024-09-20,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,126,,,52,120,7.0,7.0,7.0,,126,,2.423076923076923,,,,,,,
,6.5,,,,2024-09-21,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,122,,,52,120,10.0,7.0,7.571428571428571,,122,,2.3461538461538463,,,,,,,
,6.5,,,,2024-09-22,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,124,,,52,120,4.0,10.0,7.285714285714286,,124,,2.3846153846153846,,,,,,,
,6.5,,,,2024-09-23,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,120,,,52,120,7.0,4.0,7.0,,120,,2.3076923076923075,,,,,,,
,6.5,,,,2024-09-24,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,108,,,52,120,2.0,7.0,5.857142857142857,,108,,2.076923076923077,,,,,,,
,6.5,,,,2024-09-25,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,105,,,52,120,6.0,2.0,6.142857142857143,,105,,2.019230769230769,,,,,,,
,6.5,,,,2024-09-26,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,101,,,52,120,3.0,6.0,5.571428571428571,,101,,1.9423076923076923,,,,,,,
,6.5,,,,2024-09-27,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,91,,,52,120,6.0,3.0,5.428571428571429,,91,,1.75,,,,,,,
,6.5,,,,2024-09-28,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,86,,,52,120,12.0,6.0,5.714285714285714,,86,,1.6538461538461535,,,,,,,
,6.5,,,,2024-09-29,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,82,,,52,120,7.0,12.0,6.142857142857143,,82,,1.5769230769230769,,,,,,,
,6.5,,,,2024-09-30,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,73,,,52,120,9.0,7.0,6.428571428571429,,73,,1.4038461538461535,,,,,,,
,6.5,,,,2024-10-01,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,70,,,52,120,5.0,9.0,6.857142857142857,,70,,1.3461538461538465,,,,,,,
,6.5,,,,2024-10-02,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,63,,,52,120,4.0,5.0,6.571428571428571,,63,,1.2115384615384617,,,,,,,
,6.5,,,,2024-10-03,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,61,,,52,120,6.0,4.0,7.0,,61,,1.1730769230769231,,,,,,,
,6.5,,,,2024-10-04,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,54,,,52,120,2.0,6.0,6.428571428571429,,54,,1.0384615384615383,,,,,,,
,6.5,,,,2024-10-05,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,166,,,52,120,6.0,2.0,5.571428571428571,,166,,3.1923076923076925,,,,,,,
,6.5,,,,2024-10-06,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,157,,,52,120,6.0,6.0,5.428571428571429,,157,,3.019230769230769,,,,,,,
,6.5,,,,2024-10-07,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,155,,,52,120,7.0,6.0,5.142857142857143,,155,,2.980769230769231,,,,,,,
,6.5,,,,2024-10-08,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,149,,,52,120,5.0,7.0,5.142857142857143,,149,,2.8653846153846154,,,,,,,
,6.5,,,,2024-10-09,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,142,,,52,120,7.0,5.0,5.571428571428571,,142,,2.730769230769231,,,,,,,
,6.5,,,,2024-10-10,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,138,,,52,120,4.0,7.0,5.285714285714286,,138,,2.6538461538461537,,,,,,,
,6.5,,,,2024-10-11,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,130,,,52,120,8.0,4.0,6.142857142857143,,130,,2.5,,,,,,,
,6.5,,,,2024-10-12,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,124,,,52,120,10.0,8.0,6.714285714285714,,124,,2.3846153846153846,,,,,,,
,6.5,,,,2024-10-13,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,115,,,52,120,11.0,10.0,7.428571428571429,,115,,2.2115384615384617,,,,,,,
,6.5,,,,2024-10-14,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,109,,,52,120,12.0,11.0,8.142857142857142,,109,,2.0961538461538463,,,,,,,
,6.5,,,,2024-10-15,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,104,,,52,120,10.0,12.0,8.857142857142858,,104,,2.0,,,,,,,
,6.5,,,,2024-10-16,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,101,,,52,120,5.0,10.0,8.571428571428571,,101,,1.9423076923076923,,,,,,,
,6.5,,,,2024-10-17,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,91,,,52,120,6.0,5.0,8.857142857142858,,91,,1.75,,,,,,,
,6.5,,,,2024-10-18,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,82,,,52,120,2.0,6.0,8.0,,82,,1.5769230769230769,,,,,,,
,6.5,,,,2024-10-19,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,79,,,52,120,9.0,2.0,7.857142857142857,,79,,1.5192307692307692,,,,,,,
,6.5,,,,2024-10-20,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,76,,,52,120,8.0,9.0,7.428571428571429,,76,,1.4615384615384617,,,,,,,
,6.5,,,,2024-10-21,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,69,,,52,120,5.0,8.0,6.428571428571429,,69,,1.3269230769230769,,,,,,,
,6.5,,,,2024-10-22,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,64,,,52,120,9.0,5.0,6.285714285714286,,64,,1.2307692307692308,,,,,,,
,6.5,,,,2024-10-23,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,54,,,52,120,4.0,9.0,6.142857142857143,,54,,1.0384615384615383,,,,,,,
,6.5,,,,2024-10-24,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,163,,,52,120,8.0,4.0,6.428571428571429,,163,,3.1346153846153846,,,,,,,
,6.5,,,,2024-10-25,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,149,,,52,120,7.0,8.0,7.142857142857143,,149,,2.8653846153846154,,,,,,,
,6.5,,,,2024-10-26,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,147,,,52,120,13.0,7.0,7.714285714285714,,147,,2.826923076923077,,,,,,,
,6.5,,,,2024-10-27,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,142,,,52,120,11.0,13.0,8.142857142857142,,142,,2.730769230769231,,,,,,,
,6.5,,,,2024-10-28,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,139,,,52,120,6.0,11.0,8.285714285714286,,139,,2.673076923076923,,,,,,,
,6.5,,,,2024-10-29,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,132,,,52,120,3.0,6.0,7.428571428571429,,132,,2.5384615384615383,,,,,,,
,6.5,,,,2024-10-30,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,125,,,52,120,13.0,3.0,8.714285714285714,,125,,2.4038461538461537,,,,,,,
,6.5,,,,2024-10-31,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,116,,,52,120,5.0,13.0,8.285714285714286,,116,,2.230769230769231,,,,,,,
,6.5,,,,2024-11-01,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,111,,,52,120,6.0,5.0,8.142857142857142,,111,,2.1346153846153846,,,,,,,
,6.5,,,,2024-11-02,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,104,,,52,120,11.0,6.0,7.857142857142857,,104,,2.0,,,,,,,
,6.5,,,,2024-11-03,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,97,,,52,120,10.0,11.0,7.714285714285714,,97,,1.865384615384616,,,,,,,
,6.5,,,,2024-11-04,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,91,,,52,120,10.0,10.0,8.285714285714286,,91,,1.75,,,,,,,
,6.5,,,,2024-11-05,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,87,,,52,120,6.0,10.0,8.714285714285714,,87,,1.6730769230769231,,,,,,,
,6.5,,,,2024-11-06,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,72,,,52,120,3.0,6.0,7.285714285714286,,72,,1.3846153846153846,,,,,,,
,6.5,,,,2024-11-07,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,70,,,52,120,5.0,3.0,7.285714285714286,,70,,1.3461538461538465,,,,,,,
,6.5,,,,2024-11-08,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,60,,,52,120,6.0,5.0,7.285714285714286,,60,,1.1538461538461535,,,,,,,
,6.5,,,,2024-11-09,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,56,,,52,120,6.0,6.0,6.571428571428571,,56,,1.0769230769230769,,,,,,,
,6.5,,,,2024-11-10,,,,,,,,,,,,,,,ACE001,Aceite vegetal 900ml,,163,,,52,120,5.0,6.0,5.857142857142857,,163,,3.1346153846153846,,,,,,,
